Team,Over,1,2,3,4,5,6,7,Total,W,BOUN.,Dif.,Dif.2
Bangladesh,1,0,0,1,0,w,0,,1,1,0,,
Pakistan,1,0,0,4,w,0,0,,4,1,1,-3,3
Bangladesh,2,0,1,1,0,6,0,,8,0,1,,
Pakistan,2,0,0,1,w,0,0,,1,1,0,7,7
Bangladesh,3,2,0,0,0,0,2,,4,0,0,,
Pakistan,3,0,0,0,0,4,0,,4,0,1,0,0
Bangladesh,4,0,6,0,0,4,0,,10,0,2,,
Pakistan,4,0,1,0,0,1,4,,6,0,1,4,4
Bangladesh,5,0,w,0,6,0,0,,6,1,1,,
Pakistan,5,0,4,1,1,0,0,,6,0,1,0,0
Bangladesh,6,w,6,0,0,1,0,,7,1,1,,
Pakistan,6,0,1,1,0,4,0,,6,0,1,1,1
Bangladesh,7,0,0,0,1,1,0,,2,0,0,,
Pakistan,7,1,1,w,0,0,0,,2,1,0,0,0
Bangladesh,8,1,1,2,1,1,w,,6,1,0,,
Pakistan,8,1,0,2,1,0,0,,4,0,0,2,2
Bangladesh,9,1,0,2,1l,1,0,,4,0,0,,
Pakistan,9,w,2,1,0,1,0,,4,1,0,0,0
Bangladesh,10,0,1,0,6,1,1,,9,0,1,,
Pakistan,10,0,1,4,1,2,1s,,8,0,1,1,1
Bangladesh,11,1,0,1,1,0,1,,4,0,0,,
Pakistan,11,0,1,1,1,w,1w,1,5,2,0,-1,1
Bangladesh,12,1,0,0,w,0,1,,2,1,0,,
Pakistan,12,0,0,2,1,0,1,,4,0,0,-2,2
Bangladesh,13,0,2,0,1,1,0,,4,0,0,,
Pakistan,13,1,2,6,0,0,1,,10,0,1,-6,6
Bangladesh,14,2,1,1,1,w,0,,5,1,0,,
Pakistan,14,6,0,w,0,0,4,,10,1,2,-5,5
Bangladesh,15,2,2,1,1,6,0,,12,0,1,,
Pakistan,15,4,1,0,1,1,1,,8,0,1,4,4
Bangladesh,16,0,1,1,1,1,1,,5,0,0,,
Pakistan,16,1,2,0,0,2,6,,11,0,1,-6,6
Bangladesh,17,4,1,1l,1,w,0,,6,1,1,,
Pakistan,17,1,0,2,1,1w,2,1,8,1,0,-2,2
Bangladesh,18,0,w,4,w,1,1,,6,2,1,,
Pakistan,18,6,1,w,1,1w,1,2,12,2,1,-6,6
Bangladesh,19,4,0,1,4,1,0,,10,0,2,,
Pakistan,19,6,w,2,0,1,1,,10,1,1,0,0
Bangladesh,20,1b,4,0,6,0,0,,10,0,2,,
Pakistan,20,0,1w,4,2,2,0,2,11,1,1,-1,1
